# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.MLDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 54888.936 ns/op
# Warmup Iteration   2: 54006.658 ns/op
# Warmup Iteration   3: 54297.881 ns/op
# Warmup Iteration   4: 53669.348 ns/op
# Warmup Iteration   5: 53527.974 ns/op
Iteration   1: 53595.220 ns/op
Iteration   2: 54282.897 ns/op
Iteration   3: 53688.566 ns/op
Iteration   4: 55289.857 ns/op
Iteration   5: 54376.523 ns/op

# Run progress: 4.00% complete, ETA 00:04:05
# Fork: 2 of 5
# Warmup Iteration   1: 53521.411 ns/op
# Warmup Iteration   2: 53808.483 ns/op
# Warmup Iteration   3: 53027.769 ns/op
# Warmup Iteration   4: 53223.109 ns/op
# Warmup Iteration   5: 52815.829 ns/op
Iteration   1: 53504.598 ns/op
Iteration   2: 51977.941 ns/op
Iteration   3: 51946.225 ns/op
Iteration   4: 53253.636 ns/op
Iteration   5: 52704.308 ns/op

# Run progress: 8.00% complete, ETA 00:03:54
# Fork: 3 of 5
# Warmup Iteration   1: 53262.315 ns/op
# Warmup Iteration   2: 53080.667 ns/op
# Warmup Iteration   3: 53050.891 ns/op
# Warmup Iteration   4: 53394.989 ns/op
# Warmup Iteration   5: 54304.590 ns/op
Iteration   1: 52939.027 ns/op
Iteration   2: 53725.970 ns/op
Iteration   3: 53093.542 ns/op
Iteration   4: 52941.091 ns/op
Iteration   5: 53500.551 ns/op

# Run progress: 12.00% complete, ETA 00:03:44
# Fork: 4 of 5
# Warmup Iteration   1: 54308.068 ns/op
# Warmup Iteration   2: 52740.420 ns/op
# Warmup Iteration   3: 52660.570 ns/op
# Warmup Iteration   4: 53104.515 ns/op
# Warmup Iteration   5: 53657.923 ns/op
Iteration   1: 53284.314 ns/op
Iteration   2: 54977.549 ns/op
Iteration   3: 54688.403 ns/op
Iteration   4: 55735.650 ns/op
Iteration   5: 54870.214 ns/op

# Run progress: 16.00% complete, ETA 00:03:34
# Fork: 5 of 5
# Warmup Iteration   1: 53190.581 ns/op
# Warmup Iteration   2: 52280.156 ns/op
# Warmup Iteration   3: 53636.567 ns/op
# Warmup Iteration   4: 56231.394 ns/op
# Warmup Iteration   5: 55019.043 ns/op
Iteration   1: 52830.881 ns/op
Iteration   2: 55383.230 ns/op
Iteration   3: 54991.827 ns/op
Iteration   4: 56810.783 ns/op
Iteration   5: 56868.330 ns/op


Result "org.sample.MLDSABenchmark.benchmarkKeyGeneration":
  54050.445 ±(99.9%) 995.260 ns/op [Average]
  (min, avg, max) = (51946.225, 54050.445, 56868.330), stdev = 1328.644
  CI (99.9%): [53055.185, 55045.706] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.MLDSABenchmark.benchmarkSigning

# Run progress: 20.00% complete, ETA 00:03:23
# Fork: 1 of 5
# Warmup Iteration   1: 106947.444 ns/op
# Warmup Iteration   2: 105637.534 ns/op
# Warmup Iteration   3: 103304.428 ns/op
# Warmup Iteration   4: 101955.102 ns/op
# Warmup Iteration   5: 106838.989 ns/op
Iteration   1: 109073.844 ns/op
Iteration   2: 107327.704 ns/op
Iteration   3: 109302.056 ns/op
Iteration   4: 104792.542 ns/op
Iteration   5: 103741.022 ns/op

# Run progress: 24.00% complete, ETA 00:03:13
# Fork: 2 of 5
# Warmup Iteration   1: 104228.628 ns/op
# Warmup Iteration   2: 102372.187 ns/op
# Warmup Iteration   3: 100368.670 ns/op
# Warmup Iteration   4: 104559.252 ns/op
# Warmup Iteration   5: 104422.243 ns/op
Iteration   1: 104414.023 ns/op
Iteration   2: 104064.949 ns/op
Iteration   3: 102072.939 ns/op
Iteration   4: 98719.020 ns/op
Iteration   5: 101418.312 ns/op

# Run progress: 28.00% complete, ETA 00:03:03
# Fork: 3 of 5
# Warmup Iteration   1: 105551.099 ns/op
# Warmup Iteration   2: 99354.232 ns/op
# Warmup Iteration   3: 106034.769 ns/op
# Warmup Iteration   4: 102547.493 ns/op
# Warmup Iteration   5: 103899.544 ns/op
Iteration   1: 105330.222 ns/op
Iteration   2: 104124.815 ns/op
Iteration   3: 102745.454 ns/op
Iteration   4: 102370.546 ns/op
Iteration   5: 102578.841 ns/op

# Run progress: 32.00% complete, ETA 00:02:53
